Name,Number,Difficulty,Pattern,Status,Attempts,Time,Notes
Binary Tree Level Order Traversal,102,Medium,BFS Tree,To Solve,0,,
Maximum Depth of Binary Tree,104,Easy,Tree DFS,To Solve,0,,
Path Sum,112,Easy,Tree DFS,To Solve,0,,
Lowest Common Ancestor of BST,235,Medium,BST,To Solve,0,,
Validate Binary Search Tree,98,Medium,BST,To Solve,0,,
Kth Largest Element in an Array,215,Medium,Heap,To Solve,0,,
Number of Islands,200,Medium,DFS BFS Matrix,To Solve,0,,
Flood Fill,733,Easy,DFS Matrix,To Solve,0,,
Clone Graph,133,Medium,DFS BFS Graph,To Solve,0,,
Course Schedule,207,Medium,Graph DFS,To Solve,0,,
Climbing Stairs,70,Easy,DP 1D,To Solve,0,,
House Robber,198,Medium,DP 1D,To Solve,0,,
House Robber II,213,Medium,DP 1D,To Solve,0,,
Longest Increasing Subsequence,300,Medium,DP 1D,To Solve,0,,
Combination Sum,39,Medium,Backtracking,To Solve,0,,
Subsets,78,Medium,Backtracking,To Solve,0,,
Permutations,46,Medium,Backtracking,To Solve,0,,
Palindrome Partitioning,131,Medium,Backtracking,To Solve,0,,
Maximum Subarray,53,Medium,Kadane,To Solve,0,,
Merge Intervals,56,Medium,Intervals,To Solve,0,,
Insert Interval,57,Medium,Intervals,To Solve,0,,
Non-overlapping Intervals,435,Medium,Intervals,To Solve,0,,
Meeting Rooms I,252,Easy,Intervals,To Solve,0,,
Meeting Rooms II,253,Medium,Intervals,To Solve,0,,
Rotate Image,48,Medium,Matrix,To Solve,0,,
Set Matrix Zeroes,73,Medium,Matrix,To Solve,0,,
Spiral Matrix,54,Medium,Matrix,To Solve,0,,
Search a 2D Matrix II,240,Medium,Matrix,To Solve,0,,
Longest Consecutive Sequence,128,Medium,Hash Set,To Solve,0,,
Word Search,79,Medium,DFS Matrix,To Solve,0,,
Decode Ways,91,Medium,DP 1D,To Solve,0,,
Coin Change,322,Medium,DP Knapsack,To Solve,0,,
Partition Equal Subset Sum,416,Medium,DP Knapsack,To Solve,0,,
Unique Paths,62,Medium,DP 2D,To Solve,0,,
Unique Paths II,63,Medium,DP 2D,To Solve,0,,
Longest Common Subsequence,1143,Medium,DP 2D,To Solve,0,,
Edit Distance,72,Hard,DP 2D,To Solve,0,,
Word Break,139,Medium,DP 1D,To Solve,0,,
Word Ladder,127,Hard,BFS Graph,To Solve,0,,
Gas Station,134,Medium,Greedy,To Solve,0,,
Candy,135,Hard,Greedy,To Solve,0,,
Jump Game,55,Medium,Greedy,To Solve,0,,
Jump Game II,45,Medium,Greedy,To Solve,0,,
Task Scheduler,621,Medium,Greedy,To Solve,0,,
LRU Cache,146,Medium,Design Hash Map,To Solve,0,,
Design Twitter,355,Medium,Design,To Solve,0,,
Insert Delete GetRandom O(1),380,Medium,Design Array,To Solve,0,,
Encode and Decode Strings,271,Medium,Design String,To Solve,0,,
Design Underground System,1396,Medium,Design Hash,To Solve,0,,
Remove Nth Node From End of List,19,Medium,Linked List,To Solve,0,,
Reverse Nodes in k-Group,25,Hard,Linked List,To Solve,0,,
Sort List,148,Medium,Linked List Merge Sort,To Solve,0,,
Reorder Routes to Make All Paths Lead to the City Zero,1466,Medium,Graph DFS,To Solve,0,,
Pacific Atlantic Water Flow,417,Medium,DFS Matrix,To Solve,0,,
Surrounded Regions,130,Medium,DFS Matrix,To Solve,0,,
Accounts Merge,721,Medium,DFS Union Find,To Solve,0,,
Graph Valid Tree,261,Medium,Graph BFS DFS,To Solve,0,,
Alien Dictionary,269,Hard,Graph Topological,To Solve,0,,
Serialize and Deserialize Binary Tree,297,Hard,Tree Design,To Solve,0,,
Binary Tree Maximum Path Sum,124,Hard,Tree DFS,To Solve,0,,
Binary Tree Right Side View,199,Medium,BFS Tree,To Solve,0,,
Symmetric Tree,101,Easy,Tree Recursive,To Solve,0,,
Construct Binary Tree from Preorder and Inorder,105,Medium,Tree Construction,To Solve,0,,
Kth Smallest Element in a BST,230,Medium,BST,To Solve,0,,
Serialize and Deserialize BST,449,Medium,BST Design,To Solve,0,,
Count Complete Tree Nodes,222,Medium,Binary Tree,To Solve,0,,
Convert Sorted Array to BST,108,Easy,BST,To Solve,0,,
Balanced Binary Tree,110,Easy,Tree DFS,To Solve,0,,
Diameter of Binary Tree,543,Easy,Tree DFS,To Solve,0,,
Subtree of Another Tree,572,Easy,Tree DFS,To Solve,0,,
Lowest Common Ancestor of Binary Tree,236,Medium,Tree DFS,To Solve,0,,
Sum Root to Leaf Numbers,129,Medium,Tree DFS,To Solve,0,,
Path Sum II,113,Medium,Tree DFS,To Solve,0,,
Path Sum III,437,Medium,Tree DFS Prefix Sum,To Solve,0,,
Invert Binary Tree,226,Easy,Tree BFS DFS,To Solve,0,,
Same Tree,100,Easy,Tree Recursive,To Solve,0,,
Minimum Height Trees,310,Medium,BFS Graph,To Solve,0,,
Reconstruct Itinerary,332,Hard,Graph DFS Euler,To Solve,0,,
Course Schedule II,210,Medium,Graph Topological,To Solve,0,,
Redundant Connection,684,Medium,Union Find,To Solve,0,,
Number of Connected Components in an Undirected Graph,323,Medium,Union Find DFS,To Solve,0,,
Word Search II,212,Hard,Trie DFS,To Solve,0,,
Implement Trie Prefix Tree,208,Medium,Trie Design,To Solve,0,,
Add and Search Word,211,Medium,Trie DFS,To Solve,0,,
Longest Word in Dictionary,720,Medium,Trie DFS,To Solve,0,,
Median of Data Stream,295,Hard,Heap Two Pointer,To Solve,0,,
Find Median from Data Stream,295,Hard,Heap,To Solve,0,,
Sliding Window Maximum,239,Hard,Deque Monotonic,To Solve,0,,
K Closest Points to Origin,973,Medium,Heap Sort,To Solve,0,,
Top K Frequent Words,692,Medium,Heap Hash,To Solve,0,,
Merge k Sorted Lists,23,Hard,Heap Linked List,To Solve,0,,
Smallest Range Covering Elements from K Lists,632,Hard,Heap Sliding Window,To Solve,0,,
Task Scheduler,621,Medium,Heap Greedy,To Solve,0,,
Rearrange String k Distance Apart,358,Hard,Heap Greedy,To Solve,0,,
Sort Characters By Frequency,451,Medium,Heap Hash,To Solve,0,,
Kth Largest Element in a Stream,703,Easy,Heap,To Solve,0,,
Last Stone Weight,1046,Easy,Heap,To Solve,0,,
Reorganize String,767,Medium,Heap Greedy,To Solve,0,,
IPO,502,Hard,Heap Greedy,To Solve,0,,
Find K Pairs with Smallest Sums,373,Medium,Heap,To Solve,0,,
Kth Smallest Element in a Sorted Matrix,378,Medium,Heap Binary Search,To Solve,0,,
Trap Rain Water II,407,Hard,Heap BFS,To Solve,0,,
The Maze II,505,Medium,BFS Matrix,To Solve,0,,
Walls and Gates,286,Medium,BFS Matrix,To Solve,0,,
Shortest Distance from All Buildings,317,Hard,BFS Matrix,To Solve,0,,
Swim in Rising Water,778,Hard,BFS Heap Binary Search,To Solve,0,,
Shortest Path in Binary Matrix,1091,Medium,BFS Matrix,To Solve,0,,
Rotting Oranges,994,Medium,BFS Matrix,To Solve,0,,
Minimum Genetic Mutation,433,Medium,BFS,To Solve,0,,
Open the Lock,752,Medium,BFS,To Solve,0,,
Perfect Squares,279,Medium,BFS DP,To Solve,0,,
Word Ladder II,126,Hard,BFS DFS,To Solve,0,,
Minimum Depth of Binary Tree,111,Easy,BFS Tree,To Solve,0,,
Binary Tree Zigzag Level Order Traversal,103,Medium,BFS Tree,To Solve,0,,
Populating Next Right Pointers in Each Node,116,Medium,BFS Tree,To Solve,0,,
Populating Next Right Pointers in Each Node II,117,Medium,BFS Tree,To Solve,0,,
Binary Tree Right Side View,199,Medium,BFS DFS Tree,To Solve,0,,
Average of Levels in Binary Tree,637,Easy,BFS Tree,To Solve,0,,
Find Largest Value in Each Tree Row,515,Medium,BFS Tree,To Solve,0,,
Course Schedule III,630,Hard,Greedy Heap,To Solve,0,,
Partition Labels,763,Medium,Greedy Two Pointers,To Solve,0,,
Evaluate Division,399,Medium,Graph BFS DFS,To Solve,0,,
Queue Reconstruction by Height,406,Medium,Greedy,To Solve,0,,
Split Array Largest Sum,410,Hard,DP Binary Search,To Solve,0,,
Best Time to Buy and Sell Stock II,122,Medium,Greedy,To Solve,0,,
Best Time to Buy and Sell Stock III,123,Hard,DP,To Solve,0,,
Best Time to Buy and Sell Stock IV,188,Hard,DP,To Solve,0,,
Best Time to Buy and Sell Stock with Cooldown,309,Medium,DP,To Solve,0,,
Best Time to Buy and Sell Stock with Transaction Fee,714,Medium,DP Greedy,To Solve,0,,
Contains Duplicate II,219,Easy,Hash Sliding Window,To Solve,0,,
Contains Duplicate III,220,Medium,Bucket Sort Sorted Set,To Solve,0,,
Max Points on a Line,149,Hard,Hash Math,To Solve,0,,
Copy List with Random Pointer,138,Medium,Hash Linked List,To Solve,0,,
Rehashing,129,Medium,Hash Design,To Solve,0,,
Lru Cache,24,Medium,Hash Linked List,To Solve,0,,
Insert Delete GetRandom,380,Medium,Hash Array,To Solve,0,,
Design Logger Rate Limiter,359,Easy,Hash Queue,To Solve,0,,
Design Insert Delete GetRandom O1 Duplicates allowed,381,Hard,Hash Array,To Solve,0,,
Add Bold Tag in String,616,Medium,String,To Solve,0,,
Multiply Strings,43,Medium,String Math,To Solve,0,,
Simplify Path,71,Medium,String Stack,To Solve,0,,
Length of Last Word,58,Easy,String,To Solve,0,,
Reverse Words in a String,151,Medium,String,To Solve,0,,
Reverse Words in a String III,557,Easy,String,To Solve,0,,
Longest Substring Without Repeating Characters,3,Medium,String Sliding Window,To Solve,0,,
Longest Substring with At Most Two Distinct,159,Hard,String Sliding Window,To Solve,0,,
Longest Substring with At Most K Distinct,340,Medium,String Sliding Window,To Solve,0,,
Minimum Window Substring,76,Hard,String Sliding Window,To Solve,0,,
Substring with Concatenation of All Words,30,Hard,String Sliding Window Hash,To Solve,0,,
Repeated DNA Sequences,187,Medium,String Hash Set,To Solve,0,,
One Edit Distance,161,Medium,String,To Solve,0,,
Edit Distance,72,Hard,String DP,To Solve,0,,
Decode Ways,91,Medium,String DP,To Solve,0,,
Decode Ways II,639,Hard,String DP,To Solve,0,,
Integer to English Words,273,Hard,String Math,To Solve,0,,
Basic Calculator,224,Hard,String Stack,To Solve,0,,
Basic Calculator II,227,Medium,String Stack,To Solve,0,,
Basic Calculator III,772,Hard,String Stack,To Solve,0,,
Expression Add Operators,282,Hard,String DFS,To Solve,0,,
Word Break,139,Medium,String DP,To Solve,0,,
Word Break II,140,Hard,String DFS DP,To Solve,0,,
Compare Version Numbers,165,Medium,String,To Solve,0,,
Zigzag Conversion,6,Medium,String,To Solve,0,,
Valid Number,65,Hard,String,To Solve,0,,
Group Shifted Strings,249,Medium,String Hash,To Solve,0,,
Shortest Palindrome,214,Hard,String KMP,To Solve,0,,
Repeated Substring Pattern,459,Medium,String KMP,To Solve,0,,
Implement strStr,28,Easy,String KMP,To Solve,0,,
Add Binary,67,Easy,String Math,To Solve,0,,
Binary Watch,401,Easy,String Backtracking,To Solve,0,,
Letter Combinations of a Phone Number,17,Medium,String Backtracking,To Solve,0,,
Generate Parentheses,22,Medium,String Backtracking,To Solve,0,,
Wildcard Matching,44,Hard,String DP,To Solve,0,,
Regular Expression Matching,10,Hard,String DP,To Solve,0,,
Interleaving String,97,Medium,String DP,To Solve,0,,
Distinct Subsequences,115,Hard,String DP,To Solve,0,,
Scramble String,87,Hard,String DP,To Solve,0,,
Min Stack,155,Medium,Stack Design,To Solve,0,,
Evaluate Reverse Polish Notation,150,Medium,Stack,To Solve,0,,
Largest Rectangle in Histogram,84,Hard,Stack Monotonic,To Solve,0,,
Trapping Rain Water,42,Hard,Stack Two Pointers,To Solve,0,,
Remove Duplicate Letters,316,Hard,Stack Greedy,To Solve,0,,
Basic Calculator,224,Hard,Stack String,To Solve,0,,
Implement Queue using Stacks,232,Easy,Stack Design,To Solve,0,,
Implement Stack using Queues,225,Easy,Stack Design,To Solve,0,,
Next Greater Element II,503,Medium,Stack Monotonic,To Solve,0,,
Online Stock Span,901,Medium,Stack Monotonic,To Solve,0,,
Sum of Subarray Minimums,907,Medium,Stack Monotonic,To Solve,0,,
Binary Search Tree Iterator,173,Medium,Stack Tree,To Solve,0,,
Verify Preorder Sequence in Binary Search Tree,255,Medium,Stack Tree,To Solve,0,,
Find Median from Data Stream,295,Hard,Heap Two Pointer,To Solve,0,,
Sliding Window Maximum,239,Hard,Deque,To Solve,0,,
Design Circular Deque,641,Medium,Deque Design,To Solve,0,,
Design Hit Counter,362,Medium,Deque,To Solve,0,,
Moving Average from Data Stream,346,Easy,Queue,To Solve,0,,
Design Bounded Blocking Queue,1188,Medium,Queue Concurrency,To Solve,0,,
Design Circular Queue,622,Medium,Queue Design,To Solve,0,,
Island Perimeter,463,Easy,DFS Matrix,To Solve,0,,
Max Area of Island,695,Medium,DFS Matrix,To Solve,0,,
Surrounded Regions,130,Medium,DFS Matrix,To Solve,0,,
Rotting Oranges,994,Medium,BFS Matrix,To Solve,0,,
Walls and Gates,286,Medium,BFS Matrix,To Solve,0,,
Shortest Distance from All Buildings,317,Hard,BFS Matrix,To Solve,0,,
Pacific Atlantic Water Flow,417,Medium,DFS BFS Matrix,To Solve,0,,
Number of Enclaves,1020,Medium,BFS DFS Matrix,To Solve,0,,
As Far from Land as Possible,1162,Medium,BFS Matrix,To Solve,0,,
Map of Highest Peak,1765,Medium,BFS Matrix,To Solve,0,,
Shortest Path in Binary Matrix,1091,Medium,BFS Matrix,To Solve,0,,
Minimum Path Sum,64,Medium,DP 2D,To Solve,0,,
Unique Paths,62,Medium,DP 2D,To Solve,0,,
Unique Paths II,63,Medium,DP 2D,To Solve,0,,
Minimum Falling Path Sum,931,Medium,DP 2D,To Solve,0,,
Maximum Square,221,Medium,DP 2D,To Solve,0,,
Triangle,120,Medium,DP 2D,To Solve,0,,
Dungeon Game,174,Hard,DP 2D,To Solve,0,,
Cherry Pickup,741,Hard,DP 2D,To Solve,0,,
Longest Increasing Path in a Matrix,329,Hard,DFS DP Matrix,To Solve,0,,
Count Square Submatrices with All Ones,1277,Medium,DP Matrix,To Solve,0,,
Spiral Matrix,54,Medium,Matrix,To Solve,0,,
Spiral Matrix II,59,Medium,Matrix,To Solve,0,,
Rotate Image,48,Medium,Matrix,To Solve,0,,
Set Matrix Zeroes,73,Medium,Matrix,To Solve,0,,
Search a 2D Matrix,74,Medium,Binary Search Matrix,To Solve,0,,
Search a 2D Matrix II,240,Medium,Binary Search Matrix,To Solve,0,,
Game of Life,289,Medium,Matrix,To Solve,0,,
Kth Smallest Element in a Sorted Matrix,378,Medium,Binary Search Heap Matrix,To Solve,0,,
Toeplitz Matrix,766,Easy,Matrix,To Solve,0,,
Reshape the Matrix,566,Easy,Matrix,To Solve,0,,
Valid Sudoku,36,Medium,Matrix Hash,To Solve,0,,
Sudoku Solver,37,Hard,Matrix Backtracking,To Solve,0,,
N-Queens,51,Hard,Matrix Backtracking,To Solve,0,,
N-Queens II,52,Hard,Matrix Backtracking,To Solve,0,,
Valid Word Square,422,Easy,Matrix,To Solve,0,,
Word Search,79,Medium,Matrix DFS,To Solve,0,,
Word Search II,212,Hard,Matrix Trie DFS,To Solve,0,,
Insert Interval,57,Medium,Intervals,To Solve,0,,
Merge Intervals,56,Medium,Intervals,To Solve,0,,
Non-overlapping Intervals,435,Medium,Intervals Greedy,To Solve,0,,
Meeting Rooms,252,Easy,Intervals,To Solve,0,,
Meeting Rooms II,253,Medium,Intervals,To Solve,0,,
Meeting Rooms III,2402,Hard,Intervals Heap,To Solve,0,,
Interval List Intersections,986,Medium,Intervals,To Solve,0,,
Employee Free Time,759,Hard,Intervals Heap,To Solve,0,,
Partition Labels,763,Medium,Intervals Greedy,To Solve,0,,
Range Module,715,Hard,Intervals TreeMap,To Solve,0,,
My Calendar I,729,Medium,Intervals,To Solve,0,,
My Calendar II,731,Medium,Intervals,To Solve,0,,
My Calendar III,732,Hard,Intervals Segment Tree,To Solve,0,,
Car Pooling,1094,Medium,Intervals Bucket,To Solve,0,,
Minimum Number of Arrows to Burst Balloons,452,Medium,Intervals Greedy,To Solve,0,,
Erect the Fence,587,Hard,Intervals Convex Hull,To Solve,0,,
Data Stream as Disjoint Intervals,352,Hard,Intervals TreeMap,To Solve,0,,
Add Two Numbers,2,Medium,Linked List Math,To Solve,0,,
Add Two Numbers II,445,Medium,Linked List Math,To Solve,0,,
Reverse Linked List,206,Easy,Linked List,To Solve,0,,
Reverse Linked List II,92,Medium,Linked List,To Solve,0,,
Reverse Nodes in k-Group,25,Hard,Linked List,To Solve,0,,
Rotate List,61,Medium,Linked List,To Solve,0,,
Reorder List,143,Medium,Linked List Fast Slow,To Solve,0,,
Swap Nodes in Pairs,24,Medium,Linked List,To Solve,0,,
Odd Even Linked List,328,Medium,Linked List,To Solve,0,,
Partition List,86,Medium,Linked List,To Solve,0,,
Sort List,148,Medium,Linked List Merge Sort,To Solve,0,,
Insertion Sort List,147,Medium,Linked List,To Solve,0,,
Intersection of Two Linked Lists,160,Easy,Linked List,To Solve,0,,
Merge Two Sorted Lists,21,Easy,Linked List,To Solve,0,,
Merge k Sorted Lists,23,Hard,Linked List Heap,To Solve,0,,
Sort List by Parity,328,Easy,Linked List,To Solve,0,,
Remove Duplicates from Sorted List,83,Easy,Linked List,To Solve,0,,
Remove Duplicates from Sorted List II,82,Medium,Linked List,To Solve,0,,
Remove Nth Node From End of List,19,Medium,Linked List,To Solve,0,,
Delete Node in a Linked List,237,Easy,Linked List,To Solve,0,,
Linked List Cycle,141,Easy,Linked List Fast Slow,To Solve,0,,
Linked List Cycle II,142,Medium,Linked List Fast Slow,To Solve,0,,
Palindrome Linked List,234,Easy,Linked List Fast Slow,To Solve,0,,
Reorder List,143,Medium,Linked List Fast Slow,To Solve,0,,
Middle of the Linked List,876,Easy,Linked List Fast Slow,To Solve,0,,
Copy List with Random Pointer,138,Medium,Linked List Hash,To Solve,0,,
Flatten Multilevel Doubly Linked List,430,Medium,Linked List DFS,To Solve,0,,
Design Linked List,707,Medium,Linked List Design,To Solve,0,,
Design Browser History,1472,Medium,Linked List Array,To Solve,0,,
LRU Cache,146,Medium,Linked List Hash,To Solve,0,,
LFU Cache,460,Hard,Linked List Hash,To Solve,0,,
All O one Data Structure,432,Hard,Linked List Hash,To Solve,0,,
Binary Tree Inorder Traversal,94,Easy,Tree DFS,To Solve,0,,
Binary Tree Preorder Traversal,144,Easy,Tree DFS,To Solve,0,,
Binary Tree Postorder Traversal,145,Easy,Tree DFS,To Solve,0,,
Binary Tree Level Order Traversal,102,Medium,Tree BFS,To Solve,0,,
Binary Tree Level Order Traversal II,107,Medium,Tree BFS,To Solve,0,,
Binary Tree Zigzag Level Order Traversal,103,Medium,Tree BFS,To Solve,0,,
Binary Tree Right Side View,199,Medium,Tree BFS DFS,To Solve,0,,
Average of Levels in Binary Tree,637,Easy,Tree BFS,To Solve,0,,
Find Largest Value in Each Tree Row,515,Medium,Tree BFS,To Solve,0,,
Populating Next Right Pointers in Each Node,116,Medium,Tree BFS,To Solve,0,,
Populating Next Right Pointers in Each Node II,117,Medium,Tree BFS,To Solve,0,,
Maximum Depth of Binary Tree,104,Easy,Tree DFS,To Solve,0,,
Minimum Depth of Binary Tree,111,Easy,Tree BFS DFS,To Solve,0,,
Balanced Binary Tree,110,Easy,Tree DFS,To Solve,0,,
Diameter of Binary Tree,543,Easy,Tree DFS,To Solve,0,,
Path Sum,112,Easy,Tree DFS,To Solve,0,,
Path Sum II,113,Medium,Tree DFS,To Solve,0,,
Path Sum III,437,Medium,Tree DFS Prefix Sum,To Solve,0,,
Sum Root to Leaf Numbers,129,Medium,Tree DFS,To Solve,0,,
Binary Tree Maximum Path Sum,124,Hard,Tree DFS,To Solve,0,,
Lowest Common Ancestor of Binary Tree,236,Medium,Tree DFS,To Solve,0,,
Subtree of Another Tree,572,Easy,Tree DFS,To Solve,0,,
Same Tree,100,Easy,Tree DFS,To Solve,0,,
Symmetric Tree,101,Easy,Tree DFS,To Solve,0,,
Invert Binary Tree,226,Easy,Tree BFS DFS,To Solve,0,,
Binary Tree Tilt,563,Easy,Tree DFS,To Solve,0,,
Count Complete Tree Nodes,222,Medium,Tree,To Solve,0,,
Count Unival Subtrees,250,Medium,Tree DFS,To Solve,0,,
Maximum Binary Tree,654,Medium,Tree DFS,To Solve,0,,
Merge Two Binary Trees,617,Easy,Tree DFS,To Solve,0,,
Flip Equivalent Binary Trees,951,Medium,Tree DFS,To Solve,0,,
Construct Binary Tree from Preorder and Inorder,105,Medium,Tree,To Solve,0,,
Construct Binary Tree from Inorder and Postorder,106,Medium,Tree,To Solve,0,,
Construct Binary Tree from Preorder and Postorder,889,Medium,Tree,To Solve,0,,
Serialize and Deserialize Binary Tree,297,Hard,Tree Design,To Solve,0,,
Serialize and Deserialize BST,449,Medium,Tree Design,To Solve,0,,
Find Duplicate Subtrees,652,Medium,Tree DFS Hash,To Solve,0,,
Binary Tree Pruning,814,Medium,Tree DFS,To Solve,0,,
Delete Nodes And Return Forest,1110,Medium,Tree DFS,To Solve,0,,
Validate Binary Search Tree,98,Medium,BST DFS,To Solve,0,,
Insert into a Binary Search Tree,701,Medium,BST,To Solve,0,,
Delete Node in a BST,450,Medium,BST,To Solve,0,,
Lowest Common Ancestor of BST,235,Medium,BST,To Solve,0,,
Kth Smallest Element in a BST,230,Medium,BST DFS,To Solve,0,,
Kth Largest Element in a BST,Need to find,BST,To Solve,0,,
Convert Sorted Array to BST,108,Easy,BST,To Solve,0,,
Convert Sorted List to BST,109,Medium,BST Linked List,To Solve,0,,
Balance a Binary Search Tree,1382,Medium,BST,To Solve,0,,
Minimum Absolute Difference in BST,530,Easy,BST,To Solve,0,,
Minimum Distance Between BST Nodes,783,Easy,BST,To Solve,0,,
Search in a Binary Search Tree,700,Easy,BST,To Solve,0,,
Binary Search Tree Iterator,173,Medium,BST Stack,To Solve,0,,
Two Sum IV - Input is a BST,653,Easy,BST Hash,To Solve,0,,
Closest Binary Search Tree Value,270,Easy,BST,To Solve,0,,
Implement Trie Prefix Tree,208,Medium,Trie Design,To Solve,0,,
Add and Search Word,211,Medium,Trie DFS,To Solve,0,,
Word Search II,212,Hard,Trie DFS,To Solve,0,,
Design Add and Search Words Data Structure,211,Medium,Trie DFS,To Solve,0,,
Replace Words,648,Medium,Trie,To Solve,0,,
Implement Magic Dictionary,676,Medium,Trie Hash,To Solve,0,,
Longest Word in Dictionary,720,Medium,Trie DFS,To Solve,0,,
Map Sum Pairs,677,Medium,Trie,To Solve,0,,
Prefix and Suffix Search,745,Hard,Trie,To Solve,0,,
Palindrome Pairs,336,Hard,Trie Hash,To Solve,0,,
Design Search Autocomplete System,642,Hard,Trie,To Solve,0,,
Stream of Characters,1032,Hard,Trie,To Solve,0,,
Number of Islands,200,Medium,DFS BFS Matrix,To Solve,0,,
Max Area of Island,695,Medium,DFS Matrix,To Solve,0,,
Island Perimeter,463,Easy,DFS Matrix,To Solve,0,,
Surrounded Regions,130,Medium,DFS BFS Matrix,To Solve,0,,
Rotting Oranges,994,Medium,BFS Matrix,To Solve,0,,
Walls and Gates,286,Medium,BFS Matrix,To Solve,0,,
Pacific Atlantic Water Flow,417,Medium,DFS BFS Matrix,To Solve,0,,
Number of Enclaves,1020,Medium,BFS DFS Matrix,To Solve,0,,
Shortest Path in Binary Matrix,1091,Medium,BFS Matrix,To Solve,0,,
Word Search,79,Medium,DFS Matrix,To Solve,0,,
Word Search II,212,Hard,Trie DFS Matrix,To Solve,0,,
Flood Fill,733,Easy,DFS Matrix,To Solve,0,,
Clone Graph,133,Medium,DFS BFS Graph,To Solve,0,,
Course Schedule,207,Medium,DFS Graph Topological,To Solve,0,,
Course Schedule II,210,Medium,BFS Graph Topological,To Solve,0,,
Course Schedule III,630,Hard,Heap Greedy,To Solve,0,,
Graph Valid Tree,261,Medium,BFS DFS Graph,To Solve,0,,
Number of Connected Components in an Undirected Graph,323,Medium,DFS Union Find,To Solve,0,,
Reconstruct Itinerary,332,Hard,DFS Graph Euler,To Solve,0,,
Alien Dictionary,269,Hard,BFS Graph Topological,To Solve,0,,
Sequence Reconstruction,444,Medium,BFS Graph Topological,To Solve,0,,
Minimum Height Trees,310,Medium,BFS Graph,To Solve,0,,
Redundant Connection,684,Medium,Union Find,To Solve,0,,
Redundant Connection II,685,Hard,Union Find,To Solve,0,,
Accounts Merge,721,Medium,DFS Union Find,To Solve,0,,
Sentence Similarity II,737,Medium,DFS Union Find,To Solve,0,,
Evaluate Division,399,Medium,BFS DFS Graph,To Solve,0,,
Word Ladder,127,Hard,BFS Graph,To Solve,0,,
Word Ladder II,126,Hard,BFS DFS Graph,To Solve,0,,
Minimum Genetic Mutation,433,Medium,BFS,To Solve,0,,
Open the Lock,752,Medium,BFS,To Solve,0,,
Sliding Puzzle,773,Hard,BFS,To Solve,0,,
Remove Invalid Parentheses,301,Hard,BFS DFS,To Solve,0,,
Perfect Squares,279,Medium,BFS DP,To Solve,0,,
Climbing Stairs,70,Easy,DP 1D,To Solve,0,,
Min Cost Climbing Stairs,746,Easy,DP 1D,To Solve,0,,
House Robber,198,Medium,DP 1D,To Solve,0,,
House Robber II,213,Medium,DP 1D,To Solve,0,,
House Robber III,337,Medium,Tree DP,To Solve,0,,
Decode Ways,91,Medium,DP 1D,To Solve,0,,
Decode Ways II,639,Hard,DP 1D,To Solve,0,,
Coin Change,322,Medium,DP Knapsack,To Solve,0,,
Coin Change 2,518,Medium,DP Knapsack,To Solve,0,,
Partition Equal Subset Sum,416,Medium,DP Knapsack,To Solve,0,,
Target Sum,494,Medium,DP Knapsack,To Solve,0,,
